NO,名称,住所,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数
1,市立稲毛高等学校・附属中学校・国際中等教育学校,千葉県千葉市美浜区高浜3-1-1,千葉県,千葉市,1,1,1,1,1,,1,,1,13050
2,旧花見川第三小学校（跡施設）,千葉県千葉市花見川区花見川1-1,千葉県,千葉市,1,1,1,1,1,,1,,1,3810
3,愛生運動広場,千葉県千葉市若葉区愛生町102-1,千葉県,千葉市,1,1,1,1,1,,1,,,6070
4,浜田公園,千葉県千葉市美浜区浜田2-126,千葉県,千葉市,1,1,,1,1,,1,,,3590
5,県立千葉女子高等学校,千葉県千葉市稲毛区小仲台5-10-1,千葉県,千葉市,1,1,1,1,1,,1,,1,7220
6,花島小学校,千葉県千葉市花見川区花見川8-1,千葉県,千葉市,1,1,1,1,1,,1,,1,5020
7,千葉職業能力開発短期大学校,千葉県千葉市中央区問屋町2-25,千葉県,千葉市,,,,,1,,,,,2688
8,科学館,千葉県千葉市中央区中央4-5-1,千葉県,千葉市,1,1,1,1,1,,1,,1,190
9,子育て支援館,千葉県千葉市中央区中央4-5-1,千葉県,千葉市,1,1,1,1,1,,1,,1,190
10,新宿小学校,千葉県千葉市中央区新宿2-15-1,千葉県,千葉市,1,1,1,1,1,,1,,1,4790
11,県立柏井高等学校,千葉県千葉市花見川区柏井町1452,千葉県,千葉市,1,1,1,1,1,,1,,1,11200
12,柏台小学校,千葉県千葉市稲毛区園生町588,千葉県,千葉市,1,1,1,1,1,,1,,1,5510
13,緑が丘公民館,千葉県千葉市稲毛区宮野木町1807-3,千葉県,千葉市,1,1,1,1,1,,1,,1,210
14,宮野木小学校,千葉県千葉市稲毛区宮野木町2100,千葉県,千葉市,1,1,1,1,1,,1,,1,4500
15,宮野木スポーツセンター体育館,千葉県千葉市稲毛区宮野木町2150-4,千葉県,千葉市,1,1,1,1,1,,1,,1,690
16,県立京葉工業高等学校,千葉県千葉市稲毛区穴川4-11-32,千葉県,千葉市,1,1,1,1,1,,1,,1,9150
17,穴川コミュニティセンター,千葉県千葉市稲毛区穴川4-12-3,千葉県,千葉市,1,1,1,1,1,,1,,1,1060
18,轟公民館,千葉県千葉市稲毛区轟町1-12-3,千葉県,千葉市,1,1,1,1,1,,1,,1,300
19,県立千葉東高等学校,千葉県千葉市稲毛区轟町1-18-52,千葉県,千葉市,1,1,1,1,1,,1,,1,7950
20,轟町小学校,千葉県千葉市稲毛区轟町3-4-30,千葉県,千葉市,1,1,1,1,1,,1,,1,4630
21,轟町中学校,千葉県千葉市稲毛区轟町3-5-14,千葉県,千葉市,1,1,1,1,1,,1,,1,4690
22,市立第二養護学校,千葉県千葉市稲毛区轟町3-6-25,千葉県,千葉市,1,1,1,1,1,,1,,1,2850
23,黒砂公民館,千葉県千葉市稲毛区黒砂2-4-18,千葉県,千葉市,1,1,1,1,1,,1,,1,300
24,西千葉公園,千葉県千葉市稲毛区黒砂台3-1,千葉県,千葉市,1,1,1,1,1,,1,,,8480
25,都賀公民館,千葉県千葉市稲毛区作草部2-8-53,千葉県,千葉市,1,1,1,1,1,,1,,1,210
26,千草台東小学校,千葉県千葉市稲毛区作草部町1298-1,千葉県,千葉市,1,1,1,1,1,,1,,1,4950
27,都賀中学校,千葉県千葉市稲毛区作草部町1306-1,千葉県,千葉市,1,1,1,1,1,,1,,1,5600
28,都賀小学校,千葉県千葉市稲毛区作草部町938,千葉県,千葉市,1,1,1,1,1,,1,,1,4940
29,山王小学校,千葉県千葉市稲毛区山王町121,千葉県,千葉市,1,1,1,1,1,,1,,1,5540
30,山王ふれあい公園,千葉県千葉市稲毛区山王町182,千葉県,千葉市,1,1,1,1,1,,1,,,3840
31,小中台西公園,千葉県千葉市稲毛区小中台町400-1,千葉県,千葉市,1,1,1,1,1,,1,,,3660
32,小園公園,千葉県千葉市稲毛区小仲台4-2,千葉県,千葉市,1,1,1,1,1,,1,,,4560
33,仲よし公園,千葉県千葉市稲毛区小仲台5-1,千葉県,千葉市,1,1,1,1,1,,1,,,3020
34,小中台公民館,千葉県千葉市稲毛区小仲台5-7-1,千葉県,千葉市,1,1,1,1,1,,1,,1,370
35,小中台小学校,千葉県千葉市稲毛区小仲台6-34-1,千葉県,千葉市,1,1,1,1,1,,1,,1,4770
36,小中台南小学校,千葉県千葉市稲毛区小仲台8-15-1,千葉県,千葉市,1,1,1,1,1,,1,,1,4600
37,園生小学校,千葉県千葉市稲毛区小仲台9-30-1,千葉県,千葉市,1,1,1,1,1,,1,,1,5460
38,市立千葉高等学校,千葉県千葉市稲毛区小仲台9-46-1,千葉県,千葉市,1,1,1,1,1,,1,,1,13980
39,小中台中学校,千葉県千葉市稲毛区小仲台9-46-2,千葉県,千葉市,1,1,1,1,1,,1,,1,5580
40,千草台中学校,千葉県千葉市稲毛区千草台2-3-1,千葉県,千葉市,1,1,1,1,1,,1,,1,5420
41,長沼原勤労市民プラザ,千葉県千葉市稲毛区長沼原町304-1,千葉県,千葉市,1,1,1,1,1,,1,,1,430
42,スマートコミュニティ稲毛グラウンド,千葉県千葉市稲毛区長沼原町882-1,千葉県,千葉市,1,1,1,1,1,1,1,,,29670
43,県立千葉北高等学校,千葉県千葉市稲毛区長沼町153,千葉県,千葉市,1,1,1,1,1,,1,,1,9660
44,長沼町公園,千葉県千葉市稲毛区長沼町255-1,千葉県,千葉市,1,1,1,1,1,,1,,,3800
45,長沼コミュニティセンター,千葉県千葉市稲毛区長沼町461-8,千葉県,千葉市,1,1,1,1,1,,1,,1,1060
46,千草台公民館,千葉県千葉市稲毛区天台3-16-5,千葉県,千葉市,1,1,1,1,1,,1,,1,200
47,千草台小学校,千葉県千葉市稲毛区天台5-11-1,千葉県,千葉市,1,1,1,1,1,,1,,1,4400
48,千葉県総合スポーツセンター,千葉県千葉市稲毛区天台町323,千葉県,千葉市,1,1,1,1,1,1,1,,,176820
49,千葉大学構内（※建物を含まない）,千葉県千葉市稲毛区弥生町1-33,千葉県,千葉市,1,1,1,1,1,1,1,,,136820
50,弥生小学校,千葉県千葉市稲毛区弥生町3-18,千葉県,千葉市,1,1,1,1,1,,1,,1,2830
51,緑町小学校,千葉県千葉市稲毛区緑町2-13-1,千葉県,千葉市,1,1,1,1,1,,1,,1,4100
52,緑町中学校,千葉県千葉市稲毛区緑町2-3-1,千葉県,千葉市,1,1,1,1,1,,1,,1,5790
53,山王公民館,千葉県千葉市稲毛区六方町55-29,千葉県,千葉市,1,1,1,1,1,,1,,1,200
54,こてはし台小学校,千葉県千葉市花見川区こてはし台2-28-1,千葉県,千葉市,1,1,1,1,1,,1,,1,4320
55,こてはし台公園,千葉県千葉市花見川区こてはし台4-21,千葉県,千葉市,1,1,1,1,1,,1,,,4290
56,こてはし台中学校,千葉県千葉市花見川区こてはし台5-15-1,千葉県,千葉市,1,1,1,1,1,,1,,1,7060
57,犢橋貝塚公園,千葉県千葉市花見川区さつきが丘1-18,千葉県,千葉市,1,1,1,1,1,,1,,,10500
58,さつきが丘公民館,千葉県千葉市花見川区さつきが丘1-32-4,千葉県,千葉市,1,1,1,1,1,,1,,1,200
59,さつきが丘東小学校,千葉県千葉市花見川区さつきが丘1-7,千葉県,千葉市,1,1,1,1,1,,1,,1,5040
60,さつきが丘西小学校,千葉県千葉市花見川区さつきが丘2-14,千葉県,千葉市,1,1,1,1,1,,1,,1,5810
61,さつきが丘中学校,千葉県千葉市花見川区さつきが丘2-15,千葉県,千葉市,1,1,1,1,1,,1,,1,8450
62,神場公園,千葉県千葉市花見川区さつきが丘2-17,千葉県,千葉市,1,1,1,1,1,,1,,,8460
63,宇那谷み春野公園,千葉県千葉市花見川区宇那谷町2115,千葉県,千葉市,1,1,1,1,1,,1,,,3270
64,横戸小学校,千葉県千葉市花見川区横戸町1005,千葉県,千葉市,1,1,1,1,1,,1,,1,5870
65,こてはし台公民館,千葉県千葉市花見川区こてはし台5-9-7,千葉県,千葉市,1,1,1,1,1,,1,,1,120
66,花園公民館,千葉県千葉市花見川区花園3-12-8,千葉県,千葉市,1,1,1,1,1,,1,,1,360
67,花園中学校,千葉県千葉市花見川区花園4-1-1,千葉県,千葉市,1,1,1,1,1,,1,,1,5930
68,花園小学校,千葉県千葉市花見川区花園4-1-2,千葉県,千葉市,1,1,1,1,1,,1,,1,3900
69,花見川小学校,千葉県千葉市花見川区花見川4-1,千葉県,千葉市,1,1,1,1,1,,1,,1,3460
70,旧花見川第二小学校（跡施設）,千葉県千葉市花見川区花見川6-1,千葉県,千葉市,1,1,1,1,1,1,1,,1,3350
71,花見川中学校一帯,千葉県千葉市花見川区花見川6-1,千葉県,千葉市,1,1,1,1,1,1,1,,1,10030
72,花見川中学校,千葉県千葉市花見川区花見川6-2,千葉県,千葉市,1,1,1,1,1,1,1,,1,5850
73,花島コミュニティセンター,千葉県千葉市花見川区花島町308,千葉県,千葉市,1,1,1,1,1,,1,,1,980
74,花島公園,千葉県千葉市花見川区花島町493-1,千葉県,千葉市,1,1,1,1,1,,1,,,41070
75,検見川小学校,千葉県千葉市花見川区検見川町3-322-23,千葉県,千葉市,1,1,1,1,1,,1,,1,4140
76,検見川公民館,千葉県千葉市花見川区検見川町3-322-25,千葉県,千葉市,1,1,1,1,1,,1,,1,230
77,作新小学校,千葉県千葉市花見川区作新台7-2-1,千葉県,千葉市,1,1,1,1,1,,1,,1,4710
78,犢橋中学校,千葉県千葉市花見川区三角町656-2,千葉県,千葉市,1,1,1,1,1,1,1,,1,5700
79,瑞穂小学校,千葉県千葉市花見川区瑞穂1-2,千葉県,千葉市,1,1,1,1,1,,1,,1,3740
80,西小中台小学校,千葉県千葉市花見川区西小中台3-1,千葉県,千葉市,1,1,1,1,1,,1,,1,3990
81,千葉工業大学グラウンド一帯,千葉県千葉市花見川区千種町300,千葉県,千葉市,1,1,1,1,1,1,1,,,93500
82,県立犢橋高等学校,千葉県千葉市花見川区千種町381-1,千葉県,千葉市,1,1,1,1,1,1,1,,1,9040
83,朝日ヶ丘公民館,千葉県千葉市花見川区朝日ケ丘1-1-30,千葉県,千葉市,1,1,1,1,1,,1,,1,210
84,朝日ヶ丘中学校,千葉県千葉市花見川区朝日ケ丘2-4-1,千葉県,千葉市,1,1,1,1,1,,1,,1,5740
85,朝日ヶ丘小学校,千葉県千葉市花見川区朝日ケ丘2-6-1,千葉県,千葉市,1,1,1,1,1,,1,,1,4050
86,東大検見川総合運動場,千葉県千葉市花見川区朝日ケ丘町,千葉県,千葉市,1,1,1,1,1,1,1,,,105600
87,長作小学校,千葉県千葉市花見川区長作町1273,千葉県,千葉市,1,1,1,1,1,,1,,1,3870
88,長作公民館,千葉県千葉市花見川区長作町1722-1,千葉県,千葉市,1,1,1,1,1,,1,,1,210
89,旧花見川第二中学校（跡施設）,千葉県千葉市花見川区天戸町1428-1,千葉県,千葉市,1,1,1,1,1,,1,,1,5260
90,天戸中学校,千葉県千葉市花見川区天戸町1429,千葉県,千葉市,1,1,1,1,1,,1,,1,6190
91,柏井小学校,千葉県千葉市花見川区柏井4-48-1,千葉県,千葉市,1,1,1,1,1,,1,,1,4870
92,花見川公民館,千葉県千葉市花見川区柏井町1590-8,千葉県,千葉市,1,1,1,1,1,,1,,1,240
93,鷹之台カンツリー倶楽部（※建物を含まない）,千葉県千葉市花見川区柏井町,千葉県,千葉市,1,1,1,1,1,1,1,,,277200
94,畑コミュニティセンター,千葉県千葉市花見川区畑町1336-2,千葉県,千葉市,1,1,1,1,1,,1,,1,990
95,畑小学校,千葉県千葉市花見川区畑町1385-1,千葉県,千葉市,1,1,1,1,1,,1,,1,3880
96,幕張南小学校,千葉県千葉市花見川区幕張町3-7718,千葉県,千葉市,1,1,1,1,1,,1,,1,4270
97,幕張舟溜跡公園,千葉県千葉市花見川区幕張町3-7730-2,千葉県,千葉市,1,1,,1,1,,1,,,6180
98,幕張コミュニティセンター,千葉県千葉市花見川区幕張町3-7730-4,千葉県,千葉市,1,1,1,1,1,,1,,1,1240
99,幕張中学校,千葉県千葉市花見川区幕張町4-45,千葉県,千葉市,1,1,1,1,1,,1,,1,5280
100,幕張公民館,千葉県千葉市花見川区幕張町4-602,千葉県,千葉市,1,1,1,1,1,,1,,1,480
101,幕張東小学校,千葉県千葉市花見川区幕張町4-681,千葉県,千葉市,1,1,1,1,1,,1,,1,5560
102,幕張小学校,千葉県千葉市花見川区幕張町4-781,千葉県,千葉市,1,1,1,1,1,,1,,1,3650
103,幕張本郷公民館,千葉県千葉市花見川区幕張本郷2-19-33,千葉県,千葉市,1,1,1,1,1,,1,,1,290
104,一本松公園,千葉県千葉市花見川区幕張本郷2-33,千葉県,千葉市,1,1,1,1,1,,1,,,5760
105,西の谷小学校,千葉県千葉市花見川区幕張本郷3-22-6,千葉県,千葉市,1,1,1,1,1,,1,,1,3470
106,上の台小学校,千葉県千葉市花見川区幕張本郷4-8-1,千葉県,千葉市,1,1,1,1,1,,1,,1,4870
107,幕張本郷中学校,千葉県千葉市花見川区幕張本郷5-18-1,千葉県,千葉市,1,1,1,1,1,,1,,1,5620
108,幕張台公園,千葉県千葉市花見川区幕張本郷7-23,千葉県,千葉市,1,1,1,1,1,,1,,,3720
109,犢橋公民館,千葉県千葉市花見川区犢橋町162-1,千葉県,千葉市,1,1,1,1,1,,1,,1,80
110,緑が丘中学校,千葉県千葉市花見川区犢橋町213-4,千葉県,千葉市,1,1,1,1,1,,1,,1,6820
111,犢橋小学校,千葉県千葉市花見川区犢橋町774,千葉県,千葉市,1,1,1,1,1,,1,,1,3970
112,みつわ台南小学校,千葉県千葉市若葉区みつわ台1-17-1,千葉県,千葉市,1,1,1,1,1,,1,,1,5020
113,みつわ台第１公園,千葉県千葉市若葉区みつわ台1-18,千葉県,千葉市,1,1,1,1,1,,1,,,6110
114,みつわ台公園,千葉県千葉市若葉区みつわ台1-28,千葉県,千葉市,1,1,1,1,1,,1,,,3920
115,みつわ台中学校,千葉県千葉市若葉区みつわ台2-41-1,千葉県,千葉市,1,1,1,1,1,,1,,1,8530
116,みつわ台公民館,千葉県千葉市若葉区みつわ台3-12-17,千葉県,千葉市,1,1,1,1,1,,1,,1,240
117,みつわ台第２公園,千葉県千葉市若葉区みつわ台3-2,千葉県,千葉市,1,1,1,1,1,,1,,,8310
118,みつわ台体育館,千葉県千葉市若葉区みつわ台3-3-1,千葉県,千葉市,1,1,1,1,1,,1,,1,460
119,みつわ台北小学校,千葉県千葉市若葉区みつわ台3-5-1,千葉県,千葉市,1,1,1,1,1,,1,,1,5600
120,旧更科小学校下田分校（跡施設）,千葉県千葉市若葉区下田町573,千葉県,千葉市,1,1,1,1,1,,1,,,290
121,県立桜が丘特別支援学校,千葉県千葉市若葉区加曽利町1538,千葉県,千葉市,1,1,1,1,1,,1,,1,1080
122,加曽利公民館,千葉県千葉市若葉区加曽利町892-6,千葉県,千葉市,1,1,1,1,1,,1,,1,160
123,加曽利中学校,千葉県千葉市若葉区加曽利町961-5,千葉県,千葉市,1,1,1,1,1,,1,,1,5600
124,北貝塚小学校,千葉県千葉市若葉区貝塚町1093,千葉県,千葉市,1,1,1,1,1,,1,,1,3550
125,貝塚中学校,千葉県千葉市若葉区貝塚1-7-1,千葉県,千葉市,1,1,1,1,1,,1,,1,6770
126,千葉刑務所,千葉県千葉市若葉区貝塚町192,千葉県,千葉市,1,1,1,1,1,,1,,1,250
127,源小学校,千葉県千葉市若葉区源町541-6,千葉県,千葉市,1,1,1,1,1,,1,,1,4840
128,御成台公園,千葉県千葉市若葉区御成台3-1182-2,千葉県,千葉市,1,1,1,1,1,,1,,,10500
129,更科小学校,千葉県千葉市若葉区更科町2073,千葉県,千葉市,1,1,1,1,1,,1,,1,2710
130,更科中学校,千葉県千葉市若葉区更科町2112,千葉県,千葉市,1,1,1,1,1,,1,,1,3700
131,更科公民館,千葉県千葉市若葉区更科町2254-1,千葉県,千葉市,1,1,1,1,1,,1,,1,200
132,県立泉高等学校,千葉県千葉市若葉区高根町875-1,千葉県,千葉市,1,1,1,1,1,,1,,1,9950
133,坂月小学校,千葉県千葉市若葉区坂月町298,千葉県,千葉市,1,1,1,1,1,,1,,1,4440
134,桜木公園,千葉県千葉市若葉区桜木1-423,千葉県,千葉市,1,1,1,1,1,,1,,,6140
135,加曽利貝塚縄文遺跡公園,千葉県千葉市若葉区桜木2-81-1,千葉県,千葉市,1,1,1,1,1,1,1,,,53840
136,桜木公民館,千葉県千葉市若葉区桜木3-17-29,千葉県,千葉市,1,1,1,1,1,,1,,1,310
137,桜木小学校,千葉県千葉市若葉区桜木3-26-1,千葉県,千葉市,1,1,1,1,1,,1,,1,4150
138,若松台小学校,千葉県千葉市若葉区若松台2-25-1,千葉県,千葉市,1,1,1,1,1,,1,,1,3870
139,若松中学校,千葉県千葉市若葉区若松町2106-2,千葉県,千葉市,1,1,1,1,1,,1,,1,5940
140,若松公民館,千葉県千葉市若葉区若松町2117-2,千葉県,千葉市,1,1,1,1,1,,1,,1,200
141,若松小学校,千葉県千葉市若葉区若松町360-1,千葉県,千葉市,1,1,1,1,1,,1,,1,5540
142,県立若松高等学校,千葉県千葉市若葉区若松町429,千葉県,千葉市,1,1,1,1,1,,1,,1,16690
143,山王中学校,千葉県千葉市若葉区若松町774,千葉県,千葉市,1,1,1,1,1,,1,,1,4890
144,陸上自衛隊高射学校（※建物を含まない）,千葉県千葉市若葉区若松町902,千葉県,千葉市,1,1,1,1,1,1,1,,,44480
145,小倉台公園,千葉県千葉市若葉区小倉台4-7,千葉県,千葉市,1,1,1,1,1,,1,,,3620
146,小倉小学校,千葉県千葉市若葉区小倉台5-1-1,千葉県,千葉市,1,1,1,1,1,,1,,1,6090
147,千城台西公園,千葉県千葉市若葉区千城台西1-15,千葉県,千葉市,1,1,1,1,1,,1,,,3480
148,千城台コミュニティセンター,千葉県千葉市若葉区千城台西2-1-1,千葉県,千葉市,1,1,1,1,1,,1,,1,2030
149,千城台公民館,千葉県千葉市若葉区千城台西2-1-1,千葉県,千葉市,1,1,1,1,1,,1,,1,410
150,県立千城台高等学校,千葉県千葉市若葉区千城台西2-1-1,千葉県,千葉市,1,1,1,1,1,,1,,1,10940
151,千城台西中学校,千葉県千葉市若葉区千城台西2-20-1,千葉県,千葉市,1,1,1,1,1,,1,,1,7520
152,千城台東小学校,千葉県千葉市若葉区千城台東1-15-1,千葉県,千葉市,1,1,1,1,1,,1,,1,4280
153,御成公園,千葉県千葉市若葉区千城台東2-45,千葉県,千葉市,1,1,1,1,1,,1,,,6570
154,千城台みらい小学校,千葉県千葉市若葉区千城台東3-18-1,千葉県,千葉市,1,1,1,1,1,,1,,1,4570
155,千城台南中学校,千葉県千葉市若葉区千城台南1-20-1,千葉県,千葉市,1,1,1,1,1,1,1,,1,6000
156,千城台公園一帯,千葉県千葉市若葉区千城台南1-21,千葉県,千葉市,1,1,1,1,1,1,1,,,15180
157,千城台わかば小学校,千葉県千葉市若葉区千城台北1-4-1,千葉県,千葉市,1,1,1,1,1,,1,,1,5390
158,城北公園,千葉県千葉市若葉区千城台北2-1,千葉県,千葉市,1,1,1,1,1,,1,,,3170
159,大宮小学校,千葉県千葉市若葉区大宮台7-8-1,千葉県,千葉市,1,1,1,1,1,,1,,1,4880
160,市立養護学校,千葉県千葉市若葉区大宮町1066-1,千葉県,千葉市,1,1,1,1,1,,1,,1,5600
161,大宮中学校,千葉県千葉市若葉区大宮町2077,千葉県,千葉市,1,1,1,1,1,,1,,1,6360
162,大宮中学校一帯,千葉県千葉市若葉区大宮町2077,千葉県,千葉市,1,1,1,1,1,1,1,,1,308000
163,旧大宮台小学校（跡施設）,千葉県千葉市若葉区大宮町2082,千葉県,千葉市,1,1,1,1,1,1,1,,1,6070
164,千城小学校,千葉県千葉市若葉区大宮町2655,千葉県,千葉市,1,1,1,1,1,,1,,1,7360
165,県立千葉大宮高等学校,千葉県千葉市若葉区大宮町2699-1,千葉県,千葉市,1,1,1,1,1,,1,,1,10610
166,大宮公民館,千葉県千葉市若葉区大宮町3221-2,千葉県,千葉市,1,1,1,1,1,,1,,1,200
167,美しの森公園,千葉県千葉市若葉区都賀2-5,千葉県,千葉市,1,1,1,1,1,,1,,,3000
168,都賀コミュニティセンター,千葉県千葉市若葉区都賀4-20-1,千葉県,千葉市,1,1,1,1,1,,1,,1,1000
169,都賀の台小学校,千葉県千葉市若葉区都賀の台2-13-1,千葉県,千葉市,1,1,1,1,1,,1,,1,3970
170,袖ヶ浦カンツリー倶楽部新袖コース（※建物を含まない）,千葉県千葉市若葉区富田町1140,千葉県,千葉市,1,1,1,1,1,1,1,,,189750
171,更科小学校富田分校,千葉県千葉市若葉区富田町83,千葉県,千葉市,1,1,1,1,1,,1,,,1010
172,泉自然公園,千葉県千葉市若葉区野呂町108,千葉県,千葉市,1,1,1,1,1,1,1,,,170000
173,白井小学校,千葉県千葉市若葉区野呂町215,千葉県,千葉市,1,1,1,1,1,,1,,1,4080
174,白井公民館,千葉県千葉市若葉区野呂町622-10,千葉県,千葉市,1,1,1,1,1,,1,,1,300
175,白井中学校,千葉県千葉市若葉区野呂町623,千葉県,千葉市,1,1,1,1,1,,1,,1,4980
176,生浜西小学校,千葉県千葉市中央区塩田町316-1,千葉県,千葉市,1,1,1,1,1,,1,,1,5020
177,県立生浜高等学校,千葉県千葉市中央区塩田町372,千葉県,千葉市,1,1,1,1,1,,1,,1,12230
178,県立千葉南高等学校,千葉県千葉市中央区花輪町45-3,千葉県,千葉市,1,1,1,1,1,1,1,,1,12640
179,県立千葉高等学校,千葉県千葉市中央区葛城1-5-2,千葉県,千葉市,1,1,1,1,1,,1,,1,8210
180,葛城中学校,千葉県千葉市中央区葛城2-9-1,千葉県,千葉市,1,1,1,1,1,,1,,1,5070
181,葛城公民館,千葉県千葉市中央区葛城2-9-2,千葉県,千葉市,1,1,1,1,1,,1,,1,160
182,寒川小学校,千葉県千葉市中央区寒川町1-205,千葉県,千葉市,1,1,1,1,1,,1,,1,4070
183,宮崎小学校,千葉県千葉市中央区宮崎2-3-13,千葉県,千葉市,1,1,1,1,1,,1,,1,4000
184,菰池公園,千葉県千葉市中央区宮崎2-4,千葉県,千葉市,1,1,1,1,1,,1,,,3360
185,宮崎公民館,千葉県千葉市中央区宮崎2-5-22,千葉県,千葉市,1,1,1,1,1,,1,,1,460
186,蘇我コミュニティセンター,千葉県千葉市中央区今井1-14-43,千葉県,千葉市,1,1,1,1,1,,1,,1,2210
187,蘇我小学校,千葉県千葉市中央区今井3-15-32,千葉県,千葉市,1,1,1,1,1,,1,,1,5250
188,県立千葉工業高等学校,千葉県千葉市中央区今井町1478,千葉県,千葉市,1,1,1,1,1,1,1,,1,11190
189,県立千葉工業高等学校一帯,千葉県千葉市中央区今井町1478,千葉県,千葉市,1,1,1,1,1,1,1,,1,14230
190,羽衣公園,千葉県千葉市中央区市場町1-1,千葉県,千葉市,1,1,,1,1,,1,,,1780
191,松ヶ丘公民館,千葉県千葉市中央区松ケ丘町257-2,千葉県,千葉市,1,1,1,1,1,,1,,1,450
192,松ヶ丘中学校,千葉県千葉市中央区松ケ丘町440,千葉県,千葉市,1,1,1,1,1,,1,,1,4650
193,松ヶ丘小学校,千葉県千葉市中央区松ケ丘町580,千葉県,千葉市,1,1,1,1,1,,1,,1,3900
194,県立千葉商業高等学校,千葉県千葉市中央区松波2-22-48,千葉県,千葉市,1,1,1,1,1,,1,,1,8280
195,新宿公民館,千葉県千葉市中央区新宿2-16-14,千葉県,千葉市,1,1,1,1,1,,1,,1,480
196,仁戸名小学校,千葉県千葉市中央区仁戸名町380,千葉県,千葉市,1,1,1,1,1,,1,,1,3760
197,ニューサンピア千葉一帯（※建物を含まない）,千葉県千葉市中央区仁戸名町705,千葉県,千葉市,1,1,1,1,1,1,1,,,63320
198,星久喜小学校,千葉県千葉市中央区星久喜町1060,千葉県,千葉市,1,1,1,1,1,,1,,1,5930
199,都市緑化植物園,千葉県千葉市中央区星久喜町278,千葉県,千葉市,1,1,1,1,1,,1,,1,10290
200,星久喜公民館,千葉県千葉市中央区星久喜町615-7,千葉県,千葉市,1,1,1,1,1,,1,,1,160
201,星久喜中学校,千葉県千葉市中央区星久喜町823,千葉県,千葉市,1,1,1,1,1,,1,,1,5120
202,生浜東小学校,千葉県千葉市中央区生実町1928,千葉県,千葉市,1,1,1,1,1,,1,,1,5510
203,生浜公民館,千葉県千葉市中央区生実町67-1,千葉県,千葉市,1,1,1,1,1,,1,,1,320
204,青葉の森公園,千葉県千葉市中央区青葉町654,千葉県,千葉市,1,1,1,1,1,1,1,,,117600
205,青葉の森公園芸術文化ホール,千葉県千葉市中央区青葉町977-1,千葉県,千葉市,1,1,1,1,1,,1,,1,350
206,みなと公園,千葉県千葉市中央区千葉港6,千葉県,千葉市,1,1,,1,1,1,1,,,13520
207,ハーモニープラザ,千葉県千葉市中央区千葉寺町1208-2,千葉県,千葉市,1,1,1,1,1,,1,,1,300
208,川戸公民館,千葉県千葉市中央区川戸町403-1,千葉県,千葉市,1,1,1,1,1,,1,,1,160
209,川戸中学校,千葉県千葉市中央区川戸町443,千葉県,千葉市,1,1,1,1,1,,1,,1,6300
210,川戸小学校,千葉県千葉市中央区川戸町450,千葉県,千葉市,1,1,1,1,1,,1,,1,3920
211,フクダ電子アリーナ,千葉県千葉市中央区川崎町1-20,千葉県,千葉市,,,,,1,,,,,17000
212,そが野ふれあい公園,千葉県千葉市中央区蘇我5-29,千葉県,千葉市,1,1,1,1,1,,1,,,3210
213,大巌寺小学校,千葉県千葉市中央区大巌寺町375,千葉県,千葉市,1,1,1,1,1,,1,,1,4020
214,大森小学校,千葉県千葉市中央区大森町268,千葉県,千葉市,1,1,1,1,1,,1,,1,5350
215,子ども交流館,千葉県千葉市中央区中央4-5-1,千葉県,千葉市,1,1,1,1,1,,1,,1,680
216,椿森中学校,千葉県千葉市中央区椿森4-1-1,千葉県,千葉市,1,1,1,1,1,,1,,1,5030
217,椿森公民館,千葉県千葉市中央区椿森6-1-11,千葉県,千葉市,1,1,1,1,1,,1,,1,160
218,鶴沢小学校,千葉県千葉市中央区鶴沢町21-1,千葉県,千葉市,1,1,1,1,1,,1,,1,3180
219,登戸小学校,千葉県千葉市中央区登戸2-11-1,千葉県,千葉市,1,1,1,1,1,,1,,1,3070
220,都公園,千葉県千葉市中央区都町2-14,千葉県,千葉市,1,1,,1,1,,1,,,4070
221,都小学校,千葉県千葉市中央区都町4-2-1,千葉県,千葉市,1,1,1,1,1,,1,,1,4330
222,千葉明徳学園,千葉県千葉市中央区南生実町1412,千葉県,千葉市,1,1,1,1,1,1,1,,1,2470
223,生浜中学校,千葉県千葉市中央区南生実町258,千葉県,千葉市,1,1,1,1,1,,1,,1,6610
224,ＪＦＥ千葉体育館一帯（※建物を含まない）,千葉県千葉市中央区南町1-3-1,千葉県,千葉市,1,1,,1,1,1,1,,,11310
225,南部青少年センター,千葉県千葉市中央区白旗1-3-16,千葉県,千葉市,1,1,1,1,1,,1,,1,600
226,蘇我中学校,千葉県千葉市中央区白旗1-5-3,千葉県,千葉市,1,1,1,1,1,,1,,1,5880
227,生浜小学校,千葉県千葉市中央区浜野町1335,千葉県,千葉市,1,1,1,1,1,,1,,1,5350
228,弁天小学校,千葉県千葉市中央区弁天1-21-2,千葉県,千葉市,1,1,1,1,1,,1,,1,3990
229,千葉公園（※建物を含まない）,千葉県千葉市中央区弁天3-1,千葉県,千葉市,1,1,1,1,1,1,1,,,64500
230,本町小学校,千葉県千葉市中央区本町2-6-23,千葉県,千葉市,1,1,1,1,1,,1,,1,4470
